IDDPTO,DEPARTAMEN,IDPROV,PROVINCIA,UBIGEO,DISTRITO,CAPITAL,CODCCPP,AREA,FUENTE,TMIN_min,TMIN_max,TMIN_mean,TMIN_count,TMIN_std,TMIN_p10,TMIN_p90,TMIN_range,TMIN_BAND,TMIN_YEAR
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,CODO DEL POZUZO,0001,1,INEI,8.903979301452637,22.604116439819336,18.932154004818926,107,3.4302189255341466,13.637902,22.388206,13.700137,1,2020
10,HUANUCO,1009,PUERTO INCA,100904,TOURNAVISTA,TOURNAVISTA,0001,1,INEI,19.775056838989258,22.8608341217041,22.2906494140625,57,0.4644261116864623,21.846657,22.53606,3.0857773,1,2020
25,UCAYALI,2503,PADRE ABAD,250305,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,0001,1,INEI,21.953405380249023,22.1419677734375,22.056365966796875,6,0.07664935607432745,21.958242,22.266325,0.1885624,1,2020
25,UCAYALI,2503,PADRE ABAD,250302,IRAZOLA,SAN ALEJANDRO,0001,1,INEI,21.661476135253906,22.481042861938477,22.263211158014112,62,0.158931604004597,22.072361,22.47522,0.8195667,1,2020
25,UCAYALI,2503,PADRE ABAD,250304,NESHUYA,MONTE ALEGRE,0001,1,INEI,21.97576332092285,22.385101318359375,22.17306795987216,22,0.11829869717920143,22.025274,22.388065,0.409338,1,2020
25,UCAYALI,2503,PADRE ABAD,250301,PADRE ABAD,AGUAYTIA,0001,1,INEI,14.998992919921875,22.47966194152832,20.235752650669642,154,2.109068685083184,16.846128,22.319471,7.480669,1,2020
25,UCAYALI,2503,PADRE ABAD,250303,CURIMANA,CURIMANA,0001,1,INEI,21.982255935668945,22.410303115844727,22.249251827116936,62,0.11208086836857835,21.91877,22.369013,0.42804718,1,2020
10,HUANUCO,1009,PUERTO INCA,100901,PUERTO INCA,PUERTO INCA,0001,1,INEI,16.05077362060547,22.56388282775879,21.793824807191505,78,1.3076122823663334,18.531984,22.499874,6.513109,1,2020
25,UCAYALI,2501,CORONEL PORTILLO,250106,NUEVA REQUENA,NUEVA REQUENA,0001,1,INEI,21.799970626831055,22.591445922851562,22.307864866394926,69,0.15469150346341212,22.030172,22.450415,0.7914753,1,2020
25,UCAYALI,2501,CORONEL PORTILLO,250102,CAMPOVERDE,CAMPO VERDE,0001,1,INEI,21.85382080078125,22.428863525390625,22.190316549161587,41,0.13549867494912335,22.02229,22.420582,0.5750427,1,2020
16,LORETO,1606,UCAYALI,160601,CONTAMANA,CONTAMANA,0001,1,INEI,14.655349731445312,22.538833618164062,21.431627247431507,365,1.6855124511170483,19.510778,22.436615,7.883484,1,2020
13,LA LIBERTAD,1301,TRUJILLO,130104,HUANCHACO,HUANCHACO,0001,1,INEI,17.10750961303711,19.506893157958984,18.73708258734809,9,0.6241402314801907,17.931011,19.54613,2.3993835,1,2020
